Date,Tm,Opp,Quarter,Time,Down,Yards,Location,Score,Detail,Yds,EPB,EPA,Diff
2017-10-01,Jets,Jaguars,5,1:15,2,9,JAX 24,20-20,Elijah McGuire left guard for 1 yard (tackle by Telvin Smith),1,3.500,2.940,-0.56
2017-10-01,49ers,Cardinals,5,2:33,3,5,CRD 5,12-12,Brian Hoyer pass incomplete,,4.260,3.010,-1.25
2017-10-01,Jets,Jaguars,5,0:34,3,8,JAX 23,20-20,Josh McCown spiked the ball,0,2.940,1.930,-1.01
2017-10-01,49ers,Cardinals,5,2:28,4,5,CRD 5,12-15,Robbie Gould 23 yard field goal good,,3.010,3.000,-0.01
2017-10-01,Jets,Jaguars,5,0:32,4,8,JAX 23,23-20,Chandler Catanzaro 41 yard field goal good,,1.930,3.000,1.07
2017-10-01,49ers,Cardinals,5,2:24,,0,SFO 35,12-15,Bradley Pinion kicks off 65 yards touchback,,0.000,-0.610,-0.61
2017-10-01,Cardinals,49ers,5,2:24,1,10,CRD 25,12-15,Carson Palmer pass complete short middle to Andre Ellington for 11 yards (tackle by Dontae Johnson and K'Waun Williams),11,0.610,1.330,.72
2017-10-01,Cardinals,49ers,5,2:00,1,10,CRD 36,12-15,Carson Palmer pass complete short middle to Andre Ellington for 11 yards (tackle by Jaquiski Tartt and K'Waun Williams),11,1.330,2.060,.73
2017-10-01,Cardinals,49ers,5,1:55,1,10,CRD 47,12-15,Carson Palmer pass complete deep left to Jaron Brown for 17 yards (tackle by Lorenzo Jerome),17,2.060,3.180,1.12
2017-10-01,Cardinals,49ers,5,1:37,1,10,SFO 36,12-15,Carson Palmer pass complete short left to Jaron Brown for 11 yards (tackle by Dontae Johnson),11,3.180,3.910,.73
2017-10-01,Cardinals,49ers,5,1:17,1,10,SFO 25,12-15,Carson Palmer pass incomplete deep right intended for John Brown (defended by Rashard Robinson),,3.910,3.360,-0.55
2017-10-01,Cardinals,49ers,5,0:59,1,10,SFO 27,12-15,Carson Palmer pass complete short left to Andre Ellington for 8 yards (tackle by Jimmie Ward),8,3.780,4.350,.57
2017-10-01,Cardinals,49ers,5,0:38,2,2,SFO 19,18-15,Carson Palmer pass complete deep right to Larry Fitzgerald for 19 yards touchdown,19,4.350,7.000,2.65
2017-09-24,Packers,Bengals,5,10:00,,0,GNB 35,24-24,Mason Crosby kicks off 65 yards touchback,,0.000,0.000,.00
2017-09-24,Steelers,Bears,5,10:00,,0,PIT 35,17-17,Chris Boswell kicks off 57 yards returned by Deonte Thompson for 18 yards (tackle by Anthony Chickillo),,0.000,-0.670,-0.67
2017-09-24,Bears,Steelers,5,9:53,1,10,CHI 26,17-17,Jordan Howard right end for 1 yard (tackle by Tyson Alualu),1,0.670,0.270,-0.40
2017-09-24,Bears,Steelers,5,9:14,2,9,CHI 27,17-17,Tarik Cohen for 36 yards,36,0.270,3.120,2.85
2017-09-24,Bengals,Packers,5,10:00,1,10,CIN 25,24-24,Joe Mixon right tackle for -2 yards (tackle by Blake Martinez),-2,0.610,-0.210,-0.82
2017-09-24,Bears,Steelers,5,8:51,1,10,PIT 37,17-17,Jordan Howard left end for 18 yards (tackle by Mike Mitchell),18,3.120,0.000,-3.12
2017-09-24,Bengals,Packers,5,9:19,2,12,CIN 23,24-24,Andy Dalton pass complete short middle to A.J. Green for 6 yards (tackle by Josh Jones),6,-0.210,-0.100,.11
2017-09-24,Bengals,Packers,5,8:31,3,6,CIN 29,24-24,Andy Dalton pass complete short right to Tyler Kroft for 1 yard (tackle by Josh Jones),1,-0.100,-1.370,-1.27
2017-09-24,Bears,Steelers,5,8:34,1,10,PIT 19,23-17,Jordan Howard left tackle for 19 yards touchdown,19,4.310,7.000,2.69
2017-09-24,Bengals,Packers,5,7:54,4,5,CIN 30,24-24,Kevin Huber punts 58 yards returned by Trevor Davis for 9 yards (tackle by Clayton Fejedelem),,-1.370,-0.340,1.03
2017-09-24,Packers,Bengals,5,7:39,1,10,GNB 21,24-24,Aaron Rodgers pass incomplete short left intended for Jordy Nelson,,0.340,-0.200,-0.54
2017-09-24,Packers,Bengals,5,7:34,2,10,GNB 21,24-24,Aaron Rodgers pass incomplete short right intended for Ty Montgomery,,-0.200,-0.890,-0.69
2017-09-24,Packers,Bengals,5,7:30,3,10,GNB 21,24-24,Aaron Rodgers pass complete deep left to Geronimo Allison for 72 yards (tackle by Josh Shaw). Penalty on Michael Johnson: Defensive Offside (Declined),72,-0.890,5.600,6.49
2017-09-24,Packers,Bengals,5,6:59,1,7,CIN 7,24-24,Aaron Rodgers right end for -2 yards (tackle by Carlos Dunlap),-2,5.600,0.000,-5.60
2017-09-24,Packers,Bengals,5,6:26,2,9,CIN 9,27-24,Mason Crosby 27 yard field goal good,,4.380,3.000,-1.38
2017-09-17,Cardinals,Colts,5,10:00,,0,CRD 35,13-13,Phil Dawson kicks off 69 yards returned by Quan Bray for 30 yards (tackle by Justin Bethel),,0.000,-0.670,-0.67
2017-09-17,Colts,Cardinals,5,9:55,1,10,CLT 26,13-13,Jacoby Brissett pass incomplete short middle intended for Kamar Aiken is intercepted by Tyrann Mathieu at IND-36 and returned for 15 yards,,0.670,-4.170,-4.84
2017-09-17,Cardinals,Colts,5,9:47,1,10,CLT 21,13-13,Chris Johnson left tackle for 1 yard (tackle by John Simon),1,4.170,3.760,-0.41
2017-09-17,Cardinals,Colts,5,9:15,2,9,CLT 20,13-13,Kerwynn Williams middle for 3 yards (tackle by John Simon),3,3.760,3.460,-0.30
2017-09-17,Cardinals,Colts,5,8:39,3,6,CLT 17,13-13,Andre Ellington middle for 5 yards (tackle by Matthias Farley),5,3.460,2.780,-0.68
2017-09-17,Cardinals,Colts,5,8:05,4,1,CLT 12,13-16,Phil Dawson 30 yard field goal good,,2.780,3.000,.22
