Rk,Tm,Year,Date,Time,LTime,,Opp,Week,G#,Day,Result,OT,WinDiff,CombinedRating,OTToss
78,TAM,2014,2014-10-26,1:03,1:03,,MIN,8,7,Sun,L 13-19,OT,-5.0,-8.1,Buccaneers
79,CAR,2014,2014-10-12,1:03,1:03,@,CIN,6,6,Sun,T 37-37,OT,-3.0,-3.9000000000000004,Bengals
80,CIN,2014,2014-10-12,1:03,1:03,,CAR,6,5,Sun,T 37-37,OT,3.0,3.9000000000000004,Bengals
81,DAL,2014,2014-10-05,1:03,12:03,,HOU,5,5,Sun,W 20-17,OT,3.0,3.6999999999999997,Texans
82,HOU,2014,2014-10-05,1:03,12:03,@,DAL,5,5,Sun,L 17-20,OT,-3.0,-3.6999999999999997,Texans
83,NOR,2014,2014-10-05,1:03,12:03,,TAM,5,5,Sun,W 37-31,OT,5.0,6.8999999999999995,Saints
84,TAM,2014,2014-10-05,1:03,12:03,@,NOR,5,5,Sun,L 31-37,OT,-5.0,-6.8999999999999995,Saints
85,DEN,2014,2014-09-21,4:25,1:25,@,SEA,3,3,Sun,L 20-26,OT,0.0,0.09999999999999964,Seahawks
86,SEA,2014,2014-09-21,4:25,1:25,,DEN,3,3,Sun,W 26-20,OT,0.0,-0.09999999999999964,Seahawks
87,ATL,2014,2014-09-07,1:03,1:03,,NOR,1,1,Sun,W 37-34,OT,-1.0,-0.9000000000000012,Saints
88,BUF,2014,2014-09-07,1:00,12:00,@,CHI,1,1,Sun,W 23-20,OT,4.0,11.6,Bears
89,CHI,2014,2014-09-07,1:00,12:00,,BUF,1,1,Sun,L 20-23,OT,-4.0,-11.6,Bears
90,NOR,2014,2014-09-07,1:03,1:03,@,ATL,1,1,Sun,L 34-37,OT,1.0,0.9000000000000012,Saints
91,KAN,2013,2013-12-29,4:26,1:26,@,SDG,17,16,Sun,L 24-27,OT,2.0,3.3999999999999995,Chargers
92,SDG,2013,2013-12-29,4:26,1:26,,KAN,17,16,Sun,W 27-24,OT,-2.0,-3.3999999999999995,Chargers
93,DET,2013,2013-12-22,4:05,4:05,,NYG,16,15,Sun,L 20-23,OT,0.0,3.7,Giants
94,NYG,2013,2013-12-22,4:05,4:05,@,DET,16,15,Sun,W 23-20,OT,0.0,-3.7,Giants
95,ARI,2013,2013-12-15,4:27,3:27,@,TEN,15,14,Sun,W 37-34,OT,3.0,7.200000000000001,Titans
96,TEN,2013,2013-12-15,4:27,3:27,,ARI,15,14,Sun,L 34-37,OT,-3.0,-7.200000000000001,Titans
97,ATL,2013,2013-12-01,4:05,4:05,@,BUF,13,12,Sun,W 34-31,OT,-2.0,0.5,Bills
98,BUF,2013,2013-12-01,4:05,4:05,,ATL,13,12,Sun,L 31-34,OT,2.0,-0.5,Bills
99,CHI,2013,2013-12-01,1:05,12:05,@,MIN,13,12,Sun,L 20-23,OT,3.0,2.6000000000000005,Bears
100,MIN,2013,2013-12-01,1:05,12:05,,CHI,13,12,Sun,W 23-20,OT,-3.0,-2.6000000000000005,Bears
101,DEN,2013,2013-11-24,8:30,8:30,@,NWE,12,11,Sun,L 31-34,OT,1.0,5.499999999999999,Patriots
102,GNB,2013,2013-11-24,1:02,12:02,,MIN,12,11,Sun,T 26-26,OT,3.0,3.6,Packers
103,MIN,2013,2013-11-24,1:02,12:02,@,GNB,12,11,Sun,T 26-26,OT,-3.0,-3.6,Packers
104,NWE,2013,2013-11-24,8:30,8:30,,DEN,12,11,Sun,W 34-31,OT,-1.0,-5.499999999999999,Patriots
105,CHI,2013,2013-11-17,1:02,12:02,,BAL,11,10,Sun,W 23-20,OT,0.0,-0.49999999999999956,Ravens
106,BAL,2013,2013-11-17,1:02,12:02,@,CHI,11,10,Sun,L 20-23,OT,0.0,0.49999999999999956,Ravens
107,CIN,2013,2013-11-10,1:02,1:02,@,BAL,10,10,Sun,L 17-20,OT,3.0,8.9,Bengals
108,BAL,2013,2013-11-10,1:02,1:02,,CIN,10,9,Sun,W 20-17,OT,-3.0,-8.9,Bengals
109,SDG,2013,2013-11-03,1:03,1:03,@,WAS,9,8,Sun,L 24-30,OT,6.0,11.9,Redskins
110,SEA,2013,2013-11-03,4:05,1:05,,TAM,9,9,Sun,W 27-24,OT,9.0,15.600000000000001,Buccaneers
